Symbols,AHL,AHPC,AKJCL,AKPL,API,BARUN,BEDC,BGWT,BHCL,BHDC,BHL,BHPL,BNHC,BPCL,BUNGAL,CHCL,CHL,CKHL,DHEL,DHPL,DOLTI,DORDI,EHPL,GHL,GLH,GVL,HDHPC,HHL,HIMSTAR,HPPL,HURJA,IHL,JOSHI,KBSH,KKHC,KPCL,LEC,MABEL,MAKAR,MANDU,MBJC,MCHL,MEHL,MEL,MEN,MEPDL,MHCL,MHL,MHNL,MKHC,MKHL,MKJC,MMKJL,MSHL,NGPL,NHDL,NHPC,NYADI,PHCL,PMHPL,PPCL,PPL,RADHI,RAWA,RFPL,RHGCL,RHPL,RIDI,RURU,SAHAS,SANVI,SGHC,SHEL,SHPC,SIKLES,SJCL,SMH,SMHL,SMJC,SPC,SPDL,SPHL,SPL,SSHL,TAMOR,TPC,TSHL,TVCL,UHEWA,ULHC,UMHL,UMRH,UNHPL,UPCL,UPPER,USHEC,USHL,VLUCL,YMHL
LTP,359,261,339.8,255,334.7,319,298.9,476,521,417,211.5,450,271.3,642,520,352.1,257,588,556,274,306,249,316,239.9,255,484.9,213.8,328,659,375,247,306,261.9,803,273.7,454,252.2,600,402,684.9,285,262,244,207,640,637,280,455,251,256.5,505,280,351,510,397.4,628.9,264.6,351.9,305,302.8,334.7,317,692,407,334.5,261.1,169.8,351,582,691,580,296,299.8,517.7,565,232.1,502,462,405,390,345,516,639,212.3,497,357.7,347.5,282,591.8,323.1,544.9,514.9,350.4,332.8,189.9,495,519.9,378,555.1
Capacity (MW),6.200 MW,9.940 MW,7.000 MW,25.000 MW,56.5 MW,4.455 MW,3.75 MW,4.41 MW,- MW,15.4 MW,36 MW,1.500 MW,4.993 MW,9.400 MW,- MW,22 MW,2.000 MW,4.70 MW,- MW,3.300 MW,4.800 MW,12 MW,5.000 MW,5.000 MW,40 MW,52.400 MW,12.50 MW,12.000 MW,- MW,27.00 MW,19 MW,9.7 MW,3.000 MW,1 MW,2.000 MW,6 MW,25.000 MW,- MW,7 MW,22 MW,102 MW,4.72 MW,5 MW,20.000 MW,42.000 MW,- MW,7 MW,4.000 MW,22.100 MW,14.90 MW,3.000 MW,5 MW,14.3 MW,9.5 MW,4.95 MW,3.520 MW,7.500 MW,30.000 MW,54 MW,6.1 MW,14.900 MW,4.96 MW,4.400 MW,3 MW,10.3 MW,4.4 MW,111 MW,2.4 MW,5.000 MW,86 MW,7.6 MW,28.100 MW,25.000 MW,29 MW,13.000 MW,61.30 MW,7.8 MW,44 MW,9.600 MW,9.510 MW,9.658 MW,2.5 MW,1 MW,22.200 MW,73 MW,7.500 MW,6.60 MW,37 MW,8.500 MW,4 MW,10.000 MW,7.000 MW,3.000 MW,11.000 MW,456.000 MW,23.500 MW,2.4 MW,25 MW,7.27 MW
Cost per MW,21.15 Cr.,,28.89 Cr.,,,,19.51 Cr.,17.00 Cr.,,18.79 Cr.,21.26 Cr.,20.81 Cr.,23.80 Cr.,,,,,21.23 Cr.,,,24.05 Cr.,22.45 Cr.,26.11 Cr.,23.00 Cr.,19.13 Cr.,23.05 Cr.,17.19 Cr.,22.03 Cr.,,15.68 Cr.,16.55 Cr.,20.10 Cr.,18.45 Cr.,24.80 Cr.,,23.10 Cr.,18.55 Cr.,,18.87 Cr.,18.27 Cr.,16.64 Cr.,27.94 Cr.,27.87 Cr.,31.03 Cr.,13.97 Cr.,,20.80 Cr.,20.77 Cr.,19.82 Cr.,20.13 Cr.,20.37 Cr.,18.05 Cr.,17.48 Cr.,21.94 Cr.,,19.10 Cr.,,20.39 Cr.,19.24 Cr.,18.18 Cr.,17.54 Cr.,19.16 Cr.,13.90 Cr.,21.55 Cr.,18.06 Cr.,26.69 Cr.,15.12 Cr.,,14.89 Cr.,13.80 Cr.,,22.67 Cr.,22.00 Cr.,,17.82 Cr.,20.69 Cr.,19.08 Cr.,18.97 Cr.,19.84 Cr.,21.03 Cr.,,21.38 Cr.,14.54 Cr.,16.50 Cr.,18.26 Cr.,17.89 Cr.,21.06 Cr.,22.23 Cr.,16.73 Cr.,23.68 Cr.,,20.30 Cr.,26.50 Cr.,18.60 Cr.,,21.27 Cr.,21.03 Cr.,20.80 Cr.,25.74 Cr.
Paid-up Capital,34.00 Cr.,4.04 Ar.,2.00 Ar.,3.90 Ar.,6.38 Ar.,1.12 Ar.,54.41 Cr.,67.82 Cr.,90.91 Cr.,1.19 Ar.,3.66 Ar.,25.00 Cr.,80.00 Cr.,3.41 Ar.,83.00 Cr.,9.48 Ar.,77.40 Cr.,40.00 Cr.,1.03 Ar.,26.40 Cr.,55.00 Cr.,2.11 Ar.,62.00 Cr.,1.65 Ar.,1.80 Ar.,3.44 Ar.,2.80 Ar.,1.09 Ar.,37.30 Cr.,1.60 Ar.,1.98 Ar.,60.00 Cr.,61.28 Cr.,14.75 Cr.,93.14 Cr.,93.39 Cr.,2.25 Ar.,38.58 Cr.,76.00 Cr.,1.36 Ar.,6.00 Ar.,54.26 Cr.,80.00 Cr.,2.90 Ar.,3.12 Ar.,86.00 Cr.,80.25 Cr.,64.68 Cr.,1.25 Ar.,1.00 Ar.,39.22 Cr.,37.63 Cr.,1.00 Ar.,86.07 Cr.,3.88 Ar.,42.31 Cr.,2.47 Ar.,1.50 Ar.,3.20 Ar.,1.10 Ar.,96.25 Cr.,94.89 Cr.,1.84 Ar.,28.00 Cr.,1.40 Ar.,1.23 Ar.,6.84 Ar.,2.32 Ar.,62.41 Cr.,4.57 Ar.,88.00 Cr.,1.59 Ar.,3.04 Ar.,3.74 Ar.,97.75 Cr.,3.65 Ar.,53.50 Cr.,2.32 Ar.,1.17 Ar.,50.00 Cr.,1.33 Ar.,30.00 Cr.,20.00 Cr.,2.95 Ar.,3.33 Ar.,80.00 Cr.,49.25 Cr.,1.79 Ar.,57.50 Cr.,50.98 Cr.,1.32 Ar.,48.39 Cr.,75.00 Cr.,2.49 Ar.,21.18 Ar.,1.35 Ar.,22.00 Cr.,1.91 Ar.,70.00 Cr.
Total Mkt Cap,1.22 Ar.,10.55 Ar.,6.80 Ar.,9.93 Ar.,21.35 Ar.,3.58 Ar.,1.63 Ar.,3.23 Ar.,4.74 Ar.,4.95 Ar.,7.73 Ar.,1.13 Ar.,2.17 Ar.,21.89 Ar.,4.32 Ar.,33.40 Ar.,1.99 Ar.,2.35 Ar.,5.73 Ar.,72.34 Cr.,1.68 Ar.,5.25 Ar.,1.96 Ar.,3.96 Ar.,4.59 Ar.,16.67 Ar.,5.99 Ar.,3.59 Ar.,2.46 Ar.,5.99 Ar.,4.89 Ar.,1.84 Ar.,1.60 Ar.,1.18 Ar.,2.55 Ar.,4.24 Ar.,5.67 Ar.,2.31 Ar.,3.06 Ar.,9.34 Ar.,17.10 Ar.,1.42 Ar.,1.95 Ar.,6.00 Ar.,19.99 Ar.,5.48 Ar.,2.25 Ar.,2.94 Ar.,3.14 Ar.,2.56 Ar.,1.98 Ar.,1.05 Ar.,3.51 Ar.,4.39 Ar.,15.41 Ar.,2.66 Ar.,6.53 Ar.,5.28 Ar.,9.76 Ar.,3.33 Ar.,3.22 Ar.,3.01 Ar.,12.73 Ar.,1.14 Ar.,4.68 Ar.,3.20 Ar.,11.62 Ar.,8.15 Ar.,3.63 Ar.,31.60 Ar.,5.10 Ar.,4.72 Ar.,9.13 Ar.,19.35 Ar.,5.52 Ar.,8.47 Ar.,2.69 Ar.,10.70 Ar.,4.75 Ar.,1.95 Ar.,4.59 Ar.,1.55 Ar.,1.28 Ar.,6.27 Ar.,16.56 Ar.,2.86 Ar.,1.71 Ar.,5.05 Ar.,3.40 Ar.,1.65 Ar.,7.17 Ar.,2.49 Ar.,2.63 Ar.,8.27 Ar.,40.22 Ar.,6.68 Ar.,1.14 Ar.,7.23 Ar.,3.89 Ar.
Float Cap,1.22 Ar.,10.55 Ar.,6.80 Ar.,9.93 Ar.,21.35 Ar.,3.58 Ar.,1.63 Ar.,3.23 Ar.,1.85 Ar.,4.95 Ar.,7.73 Ar.,1.13 Ar.,2.17 Ar.,21.89 Ar.,1.51 Ar.,33.40 Ar.,1.99 Ar.,57.58 Cr.,2.20 Ar.,72.34 Cr.,1.68 Ar.,5.25 Ar.,1.96 Ar.,3.96 Ar.,4.59 Ar.,16.67 Ar.,5.99 Ar.,3.59 Ar.,73.74 Cr.,5.99 Ar.,4.89 Ar.,1.84 Ar.,1.60 Ar.,1.18 Ar.,2.55 Ar.,4.24 Ar.,5.67 Ar.,1.13 Ar.,3.06 Ar.,9.34 Ar.,17.10 Ar.,1.42 Ar.,1.95 Ar.,6.00 Ar.,19.99 Ar.,,2.25 Ar.,2.94 Ar.,3.14 Ar.,2.56 Ar.,1.98 Ar.,1.05 Ar.,52.65 Cr.,43.89 Cr.,15.41 Ar.,2.66 Ar.,6.53 Ar.,5.28 Ar.,9.76 Ar.,3.33 Ar.,3.22 Ar.,3.01 Ar.,12.73 Ar.,1.14 Ar.,4.68 Ar.,3.20 Ar.,11.62 Ar.,8.15 Ar.,3.63 Ar.,31.60 Ar.,2.20 Ar.,4.72 Ar.,9.13 Ar.,19.35 Ar.,5.52 Ar.,8.47 Ar.,2.69 Ar.,10.70 Ar.,4.75 Ar.,1.95 Ar.,4.59 Ar.,1.55 Ar.,1.28 Ar.,6.27 Ar.,16.56 Ar.,2.86 Ar.,1.71 Ar.,5.05 Ar.,3.40 Ar.,1.65 Ar.,7.17 Ar.,2.49 Ar.,2.63 Ar.,8.27 Ar.,40.22 Ar.,6.68 Ar.,1.14 Ar.,90.73 Cr.,1.55 Ar.
Float Type,Ultra Low Cap,High Cap,Mid Cap,High Cap,Very High Cap,Mid Cap,Low Cap,Mid Cap,Low Cap,Mid Cap,High Cap,Ultra Low Cap,Low Cap,Very High Cap,Ultra Low Cap,Very High Cap,Low Cap,Ultra Low Cap,Low Cap,Ultra Low Cap,Low Cap,Mid Cap,Low Cap,Mid Cap,Mid Cap,High Cap,Mid Cap,Mid Cap,Ultra Low Cap,Mid Cap,Mid Cap,Low Cap,Low Cap,Ultra Low Cap,Low Cap,Mid Cap,Mid Cap,Ultra Low Cap,Mid Cap,High Cap,High Cap,Ultra Low Cap,Low Cap,Mid Cap,High Cap,Ultra Low Cap,Low Cap,Mid Cap,Mid Cap,Low Cap,Low Cap,Ultra Low Cap,Ultra Low Cap,Ultra Low Cap,High Cap,Low Cap,Mid Cap,Mid Cap,High Cap,Mid Cap,Mid Cap,Mid Cap,High Cap,Ultra Low Cap,Mid Cap,Mid Cap,High Cap,High Cap,Mid Cap,Very High Cap,Low Cap,Mid Cap,High Cap,High Cap,Mid Cap,High Cap,Low Cap,High Cap,Mid Cap,Low Cap,Mid Cap,Low Cap,Ultra Low Cap,Mid Cap,High Cap,Mid Cap,Low Cap,Mid Cap,Mid Cap,Low Cap,Mid Cap,Low Cap,Low Cap,High Cap,Very High Cap,Mid Cap,Ultra Low Cap,Ultra Low Cap,Low Cap
Share Registrar,NMB capital Limited,Muktinath Capital Limited,Nabil Investment Banking LTD,Arun Kabeli Power Limited,Api Power Company Limited,RBB Merchant Banking Limited,NIC Asia Capital Limited,Siddhartha Capital Limited,Prabhu Capital Limited,Sanima Capital Limited,Global IME Capital Limited,NIBL Ace Capital Limited,Siddhartha Capital Limited,Nabil Investment Banking Limited,,Siddhartha Capital Limited,BOK Capital Market Limited,,,NIBL Ace Capital Limited,NIC Asia Capital Limited,Dordi Khola Jal Bidyut Company Limited,Global IME Capital Limited,Muktinath Capital Limited,Sanima Capital Limited,Laxmi Capital Market Limited,Himal Dolakha Hydropower Company Limited,Global IME Capital Limited,NIC Asia Capital,Global IME Capital Limited,Nabil Investment Banking Limited,,Joshi Hydropower Development Company Limited,NMB capital Limited,Prabhu Capital Limited,Global IME Capital Limited,Prabhu Capital Limited,,Prabhu Capital Limited,NIMB Ace Capital Limited,Global IME Capital Limited,NIC Asia Capital Limited,,NMB capital Limited,NIBL Ace Capital Limited,NIMB Ace Capital Limited,Sunrise Capital Limited,BOK Capital Market Limited,Muktinath Capital Limited,Citizen Capital Limited,Prabhu Capital Limited,,,NIC Asia Capital Limited,Siddhartha Capital Limited,NMB Capital Limited,Global IME Capital Limited,NMB Capital Limited,Sanima Capital Limited,Panchakanya Mai Hydropower Limited,Sanima Capital Limited,Prabhu Capital Limited,Radhi Bidyut Company Limited,Prabhu Capital Limited,Prabhu Capital Limited,None,Siddhartha Capital Limited,Ridi Hydropower Development Company Limited,NIBL Ace Capital Limited,NIBL Ace Capital Limited,Nepal SBI Merchant Banking Ltd,Swet-Ganga Hydropower and Construction Limited,Mega Capital Markets Limited,Sanima Capital Limited,,Sunrise Capital Limited,Sanima Capital Limited,Sanima Capital limited,Prabhu Capital Limited,,BOK Capital Market Limited,NIBL Ace Capital Limited,Muktinath Capital limited,Siddhartha Capital Limited,Sanima Capital limited,Nabil Investment Banking Limited,Shree Himalayan Capital Limited,,NMB Capital Limited,NIC Asia Capital Limited,CBIL Capital Limited,Global IME Capital Limited,Laxmi Capital Market Limited,Universal Power Company Limited,Sunrise Capital Limited,NMB Capital Limited,Siddhartha Capital Limited,,Muktinath Capital Limited
Public Share,34.00 Lac.( 100% ),4.04 Cr.( 100% ),2.00 Cr.( 100% ),3.90 Cr.( 100% ),6.38 Cr.( 100% ),1.12 Cr.( 100% ),54.41 Lac.( 100% ),67.82 Lac.( 100% ),35.45 Lac.( 39% ),1.19 Cr.( 100% ),3.66 Cr.( 100% ),25.00 Lac.( 100% ),80.00 Lac.( 100% ),3.41 Cr.( 100% ),29.05 Lac.( 35% ),9.48 Cr.( 100% ),77.40 Lac.( 100% ),9.79 Lac.( 24.48% ),39.50 Lac.( 38.33% ),26.40 Lac.( 100% ),55.00 Lac.( 100% ),2.11 Cr.( 100% ),62.00 Lac.( 100% ),1.65 Cr.( 100% ),1.80 Cr.( 100% ),3.44 Cr.( 100% ),2.80 Cr.( 100% ),1.09 Cr.( 100% ),11.19 Lac.( 30% ),1.60 Cr.( 100% ),1.98 Cr.( 100% ),60.00 Lac.( 100% ),61.28 Lac.( 100% ),14.75 Lac.( 100% ),93.14 Lac.( 100% ),93.39 Lac.( 100% ),2.25 Cr.( 100% ),18.91 Lac.( 49% ),76.00 Lac.( 100% ),1.36 Cr.( 100% ),6.00 Cr.( 100% ),54.26 Lac.( 100% ),80.00 Lac.( 100% ),2.90 Cr.( 100% ),3.12 Cr.( 100% ),( 0% ),80.25 Lac.( 100% ),64.68 Lac.( 100% ),1.25 Cr.( 100% ),1.00 Cr.( 100% ),39.22 Lac.( 100% ),37.63 Lac.( 100% ),15.00 Lac.( 15% ),8.61 Lac.( 10% ),3.88 Cr.( 100% ),42.31 Lac.( 100% ),2.47 Cr.( 100% ),1.50 Cr.( 100% ),3.20 Cr.( 100% ),1.10 Cr.( 100% ),96.25 Lac.( 100% ),94.89 Lac.( 100% ),1.84 Cr.( 100% ),28.00 Lac.( 100% ),1.40 Cr.( 100% ),1.23 Cr.( 100% ),6.84 Cr.( 100% ),2.32 Cr.( 100% ),62.41 Lac.( 100% ),4.57 Cr.( 100% ),37.85 Lac.( 43.01% ),1.59 Cr.( 100% ),3.04 Cr.( 100% ),3.74 Cr.( 100% ),97.75 Lac.( 100% ),3.65 Cr.( 100% ),53.50 Lac.( 100% ),2.32 Cr.( 100% ),1.17 Cr.( 100% ),50.00 Lac.( 100% ),1.33 Cr.( 100% ),30.00 Lac.( 100% ),20.00 Lac.( 100% ),2.95 Cr.( 100% ),3.33 Cr.( 100% ),80.00 Lac.( 100% ),49.25 Lac.( 100% ),1.79 Cr.( 100% ),57.50 Lac.( 100% ),50.98 Lac.( 100% ),1.32 Cr.( 100% ),48.39 Lac.( 100% ),75.00 Lac.( 100% ),2.49 Cr.( 100% ),21.18 Cr.( 100% ),1.35 Cr.( 100% ),22.00 Lac.( 100% ),24.00 Lac.( 12.55% ),28.00 Lac.( 40% )
Promoter Share,( 0% ),( 0% ),0.00( 0% ),0.00( 0% ),0.00( 0% ),0.00( 0% ),( 0% ),0.00( 0% ),46.36 Lac.( 51% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),53.95 Lac.( 65% ),( 0% ),0.00( 0% ),28.00 Lac.( 70% ),63.55 Lac.( 61.67% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),26.11 Lac.( 70% ),0.00( 0% ),0.00( 0% ),( 0% ),0.00( 0% ),0.00( 0% ),0.00( 0% ),( 0% ),( 0% ),19.68 Lac.( 51% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),70.00 Lac.( 70% ),68.85 Lac.( 80% ),0.00( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),50.10 Lac.( 56.93% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),( 0% ),( 0% ),( 0% ),0.00( 0% ),0.00( 0% ),( 0% ),0.00( 0% ),0.00( 0% ),0.00( 0% ),( 0% ),( 0% ),1.53 Cr.( 80% ),42.00 Lac.( 60% )
